LATITUDE,LONGITUDE
41.716842987,-87.655917105
41.89061999,-87.632409241
41.880978574,-87.617339635
41.95136097,-87.660029659
41.997541623,-87.777879062
41.756935274,-87.57738623
41.744344846,-87.667998927
41.927859079,-87.64199486
41.881949878,-87.696161305
41.913815368,-87.70700509
41.939338049,-87.716397185
41.948571115,-87.71262517
41.682134751,-87.66045585
41.77774241,-87.715192173
41.825869949,-87.684781794
41.749093657,-87.574573101
41.925450167,-87.668009262
41.794143766,-87.663930865
41.975007035,-87.698747628
41.878034428,-87.631171407
41.952769719,-87.809861207
41.775081469,-87.67152753
41.803636771,-87.72576678
41.7934746,-87.586863275
41.765398586,-87.626695501
41.715870203,-87.64321014
41.99404711,-87.686014565
41.801297756,-87.74039219
41.765617973,-87.56665273
41.725106045,-87.593797682
41.750751954,-87.707455979
41.840491005,-87.723373263
41.819320206,-87.694398314
41.765821873,-87.722586183
41.987856972,-87.847307922
41.786241183,-87.710777724
41.918110819,-87.677486697
41.939765919,-87.656388915
41.878531278,-87.63942746
41.962173638,-87.74746481
41.781234956,-87.661979905
41.83875801,-87.713563975
41.928142366,-87.733303381
41.943227375,-87.643480602
41.774300175,-87.586471302
41.80917373,-87.623096474
41.886778991,-87.628118552
41.873822401,-87.632750242
41.752866148,-87.675788385
41.652945792,-87.610470182
41.852950417,-87.629921432
41.944832105,-87.727500862
41.816783515,-87.631340178
41.983875636,-87.655443281
41.705638193,-87.620606248
41.850265712,-87.670935985
41.895502619,-87.723239039
41.721499844,-87.632157833
41.895543384,-87.719091424
42.004354705,-87.813673137
41.708264144,-87.56082659
41.733949626,-87.609486748
41.884290763,-87.715479683
41.742766071,-87.692498082
41.801963837,-87.618115464
41.887654772,-87.684005765
41.886731506,-87.609864713
41.76027114,-87.619032946
41.876338404,-87.70245407
41.876871564,-87.636987951
41.986111645,-87.748457146
41.942520006,-87.747112821
41.915110081,-87.683435349
